node1,node2,distance(Km.)
Mahanadi (T) Bridge,Anshupa Lake,51
Mahanadi (T) Bridge,Peacock Valley,26
Mahanadi (T) Bridge,Mahanadi (T) Bridge,0
Mahanadi (T) Bridge,State Botanical Garden,28
Mahanadi (T) Bridge,Maa Charchika Temple,44
Mahanadi (T) Bridge,Chaudwar,16
State Botanical Garden,Netaji subash Ch. Busstand,12
State Botanical Garden,Barabati Fort,12
State Botanical Garden,Barabati Stadium,11.6
State Botanical Garden,Maa Cuttack Chandi Temple,10.6
State Botanical Garden,Netaji Birth Place Museum,28
State Botanical Garden,Shree Singhanath Temple,68
State Botanical Garden,Paradeep Sea Beach,115
State Botanical Garden,Shree Dhabaleswar Temple,21
State Botanical Garden,Odisha Maritime Museum,28
State Botanical Garden,Deer Park,26
State Botanical Garden,Baliyatra Ground,29
State Botanical Garden,Anshupa Lake,52
State Botanical Garden,Peacock Valley,28
State Botanical Garden,Mahanadi (T) Bridge,28
State Botanical Garden,State Botanical Garden,0
State Botanical Garden,Maa Charchika Temple,23
State Botanical Garden,Chaudwar,36
Maa Charchika Temple,Netaji subash Ch. Busstand,42.1
Maa Charchika Temple,Barabati Fort,46.3
Maa Charchika Temple,Barabati Stadium,45.5
Maa Charchika Temple,Maa Cuttack Chandi Temple,45.8
Maa Charchika Temple,Netaji Birth Place Museum,44
Maa Charchika Temple,Shree Singhanath Temple,79
Maa Charchika Temple,Paradeep Sea Beach,103
Maa Charchika Temple,Shree Dhabaleswar Temple,13
Maa Charchika Temple,Odisha Maritime Museum,45
Maa Charchika Temple,Deer Park,47
Maa Charchika Temple,Baliyatra Ground,46
Maa Charchika Temple,Anshupa Lake,66
Maa Charchika Temple,Peacock Valley,50
Maa Charchika Temple,Mahanadi (T) Bridge,44
Maa Charchika Temple,State Botanical Garden,23
Maa Charchika Temple,Maa Charchika Temple,0
Maa Charchika Temple,Chaudwar,54
Chaudwar,Netaji subash Ch. Busstand,18.6
Chaudwar,Barabati Fort,14.8
Chaudwar,Barabati Stadium,14.2
Chaudwar,Maa Cuttack Chandi Temple,15.2
Chaudwar,Netaji Birth Place Museum,18.4
Chaudwar,Shree Singhanath Temple,73
Chaudwar,Paradeep Sea Beach,104
Chaudwar,Shree Dhabaleswar Temple,46
Chaudwar,Odisha Maritime Museum,13
Chaudwar,Deer Park,14
Chaudwar,Baliyatra Ground,13
Chaudwar,Anshupa Lake,46
Chaudwar,Peacock Valley,24
Chaudwar,Mahanadi (T) Bridge,16
Chaudwar,State Botanical Garden,36
Chaudwar,Maa Charchika Temple,54
Chaudwar,Chaudwar,0
